N,P,K,pH,EC,soil_temp_C,soil_moisture,crop,growth_stage,recommended_fertilizer
39,21,43,5.83,1.43,23,54,groundnut,flowering,NPK 14-35-14
20,32,14,5.97,1.13,32,46,wheat,flowering,DAP
56,23,30,6.51,0.58,23,22,rice,maturity,NPK 12-32-16
28,10,40,6.04,1.38,24,27,rice,vegetative,Urea
36,27,13,7.4,0.77,37,32,groundnut,flowering,NPK 10-26-26
28,26,20,6.43,0.74,39,22,sugarcane,flowering,DAP
30,18,28,5.62,0.8,20,39,groundnut,flowering,NPK 10-26-26
34,18,47,6.96,1.08,38,54,sugarcane,maturity,MOP
43,32,28,6.16,1.04,30,32,groundnut,maturity,MOP
57,19,23,6.81,0.99,19,39,groundnut,flowering,DAP
54,28,31,6.06,1.22,20,43,rice,vegetative,Urea
49,24,14,6.64,0.82,30,28,sugarcane,maturity,NPK 12-32-16
50,14,15,7.04,1.28,26,49,groundnut,vegetative,Single Super Phosphate
68,24,28,7.36,0.68,39,44,wheat,vegetative,Single Super Phosphate
24,29,48,6.02,1.28,36,35,rice,maturity,MOP
63,32,26,6.17,1.16,35,27,maize,flowering,NPK 14-35-14
69,34,44,6.43,1.18,22,47,rice,vegetative,Urea
33,11,27,7.35,0.98,27,31,groundnut,flowering,NPK 14-35-14
30,22,22,7.3,1.17,31,43,soybean,vegetative,Single Super Phosphate
28,33,31,5.68,0.58,38,48,soybean,flowering,DAP
53,25,49,5.76,1.35,34,34,rice,maturity,MOP
31,24,35,6.49,0.56,20,37,maize,vegetative,Single Super Phosphate
54,34,27,5.71,0.65,24,26,rice,vegetative,NPK 19-19-19
54,19,41,6.19,1.08,26,32,maize,vegetative,Single Super Phosphate
20,23,45,5.8,1.24,22,38,groundnut,flowering,NPK 10-26-26
59,19,12,6.77,0.58,21,24,wheat,vegetative,Single Super Phosphate
41,34,35,7.4,1.42,20,45,wheat,vegetative,Urea
48,23,35,7.49,1.47,30,21,maize,flowering,NPK 14-35-14
27,32,20,6.25,1.11,26,52,sugarcane,flowering,DAP
30,18,33,6.7,0.98,24,56,wheat,maturity,MOP
60,34,23,7.21,1.24,25,44,soybean,flowering,NPK 14-35-14
56,23,28,5.73,0.83,27,44,rice,vegetative,Urea
33,12,36,6.88,0.99,18,58,groundnut,vegetative,Urea
49,29,39,6.32,1.42,37,49,sugarcane,maturity,NPK 12-32-16
54,25,26,5.91,1.46,38,23,soybean,maturity,MOP
40,11,41,6.31,1.43,38,38,rice,vegetative,Urea
56,19,38,5.65,0.76,18,46,soybean,flowering,NPK 10-26-26
24,12,33,6.89,0.73,36,58,sugarcane,vegetative,NPK 19-19-19
38,20,21,6.01,0.8,19,43,maize,maturity,MOP
33,20,42,6.12,0.94,29,56,rice,vegetative,NPK 19-19-19
45,30,38,5.74,0.81,30,44,soybean,vegetative,Single Super Phosphate
23,30,23,7.23,0.87,31,48,groundnut,vegetative,Single Super Phosphate
44,31,42,6.49,1.12,22,50,groundnut,maturity,MOP
64,22,43,6.64,1.26,20,54,soybean,maturity,NPK 12-32-16
61,16,43,6.64,1.24,34,47,sugarcane,maturity,NPK 12-32-16
44,32,46,6.32,1.31,18,57,sugarcane,flowering,NPK 14-35-14
37,26,32,5.89,0.53,31,23,groundnut,maturity,MOP
59,11,21,6.99,0.55,23,47,groundnut,flowering,NPK 14-35-14
27,21,27,5.75,1.29,34,50,sugarcane,flowering,NPK 10-26-26
58,34,18,5.71,1.03,21,42,maize,maturity,NPK 12-32-16
59,19,15,6.92,1.08,23,33,wheat,flowering,NPK 14-35-14
33,27,38,5.92,0.55,18,47,soybean,flowering,NPK 14-35-14
51,31,36,6.11,0.76,26,33,maize,vegetative,NPK 19-19-19
57,20,42,6.45,1.14,21,20,soybean,flowering,NPK 10-26-26
52,25,22,6.4,1.36,26,51,groundnut,flowering,NPK 10-26-26
42,26,31,6.92,1.42,26,37,maize,maturity,NPK 12-32-16
34,28,47,6.75,1.0,39,24,groundnut,vegetative,Single Super Phosphate
52,27,28,6.79,1.05,30,34,groundnut,flowering,NPK 10-26-26
44,12,22,6.93,1.33,34,35,groundnut,flowering,DAP
36,30,41,6.09,1.04,38,55,rice,flowering,NPK 10-26-26
52,25,46,6.14,1.02,20,55,wheat,maturity,NPK 12-32-16
66,15,49,6.38,1.41,23,59,groundnut,maturity,MOP
21,34,33,6.11,1.29,37,49,soybean,vegetative,Urea
33,21,38,7.47,1.41,32,57,sugarcane,flowering,DAP
59,20,48,7.13,0.72,31,42,wheat,vegetative,Urea
59,24,46,5.83,1.02,30,30,soybean,maturity,NPK 12-32-16
58,24,15,5.51,1.34,26,44,rice,flowering,NPK 14-35-14
25,25,27,5.59,0.61,32,21,groundnut,flowering,NPK 14-35-14
25,19,27,5.99,1.29,31,54,soybean,vegetative,NPK 19-19-19
22,21,32,5.73,0.68,21,43,soybean,flowering,DAP
26,22,37,6.57,1.31,28,32,soybean,maturity,MOP
27,13,47,7.22,1.11,39,56,wheat,vegetative,Single Super Phosphate
61,16,30,6.97,0.69,19,49,groundnut,vegetative,NPK 19-19-19
34,31,28,5.93,0.97,33,30,soybean,flowering,DAP
66,11,37,6.3,1.18,36,42,sugarcane,maturity,NPK 12-32-16
48,24,33,6.52,1.13,33,47,groundnut,flowering,NPK 10-26-26
52,17,39,7.12,0.93,24,48,maize,vegetative,Single Super Phosphate
49,16,12,7.18,1.4,28,34,sugarcane,vegetative,NPK 19-19-19
58,24,47,7.32,1.02,29,22,rice,maturity,NPK 12-32-16
46,32,48,6.52,1.01,21,28,wheat,vegetative,NPK 19-19-19
55,23,13,6.89,0.56,33,27,maize,maturity,NPK 12-32-16
48,17,28,5.72,1.42,33,52,wheat,flowering,DAP
57,21,49,6.63,0.68,24,53,wheat,maturity,MOP
52,22,32,6.0,1.03,30,28,soybean,flowering,DAP
56,20,20,6.36,1.3,22,36,sugarcane,flowering,DAP
46,26,24,6.77,0.72,18,20,maize,vegetative,Urea
52,26,22,6.01,1.03,22,59,soybean,flowering,DAP
23,33,27,5.6,0.74,39,24,maize,vegetative,Single Super Phosphate
41,13,27,5.52,1.26,31,49,groundnut,maturity,NPK 12-32-16
21,30,13,5.54,1.06,28,30,groundnut,maturity,MOP
29,17,19,5.52,1.36,19,47,sugarcane,flowering,DAP
24,14,24,5.72,1.39,35,57,soybean,maturity,NPK 12-32-16
29,25,28,5.98,1.15,32,36,maize,flowering,NPK 10-26-26
52,13,35,5.94,1.23,31,42,groundnut,maturity,NPK 12-32-16
57,31,14,7.47,1.05,30,37,soybean,flowering,NPK 10-26-26
32,24,41,6.11,0.88,19,56,wheat,flowering,NPK 10-26-26
50,21,24,5.75,1.15,36,46,groundnut,maturity,NPK 12-32-16
66,14,30,6.59,1.41,25,44,rice,maturity,NPK 12-32-16
55,32,18,7.22,0.92,39,24,maize,maturity,MOP
64,25,20,6.86,0.81,34,38,groundnut,maturity,NPK 12-32-16
43,23,30,6.09,0.89,32,46,sugarcane,flowering,NPK 14-35-14
34,19,33,6.62,0.94,37,32,maize,flowering,NPK 10-26-26
48,16,29,6.93,0.57,38,26,rice,maturity,NPK 12-32-16
27,22,34,6.96,1.0,31,45,maize,maturity,MOP
24,29,13,6.83,0.99,20,33,maize,vegetative,Urea
48,14,22,7.24,1.09,34,46,groundnut,flowering,DAP
66,12,42,7.24,0.86,20,27,maize,flowering,NPK 14-35-14
23,24,44,6.66,1.11,30,50,sugarcane,maturity,NPK 12-32-16
31,13,25,6.36,1.38,35,54,rice,vegetative,Single Super Phosphate
64,24,27,6.78,1.46,18,46,groundnut,maturity,MOP
21,23,22,7.14,1.08,24,23,rice,flowering,DAP
46,29,44,5.51,0.54,22,23,sugarcane,flowering,NPK 10-26-26
50,28,18,7.48,1.47,19,37,maize,vegetative,Single Super Phosphate
55,22,42,5.87,1.21,34,42,maize,maturity,NPK 12-32-16
55,19,25,6.44,0.84,38,51,groundnut,vegetative,NPK 19-19-19
45,30,39,7.24,0.65,27,31,rice,maturity,NPK 12-32-16
62,14,27,5.95,0.64,21,39,maize,vegetative,Urea
46,32,30,6.45,0.67,26,31,wheat,maturity,NPK 12-32-16
24,29,28,5.77,0.55,38,27,maize,maturity,NPK 12-32-16
39,29,37,6.29,1.4,28,41,maize,maturity,MOP
30,34,17,5.85,1.04,29,46,soybean,flowering,DAP
29,15,20,6.23,1.2,29,36,rice,maturity,NPK 12-32-16
59,13,28,6.25,1.33,35,51,rice,flowering,NPK 10-26-26
57,11,42,7.49,1.29,21,52,wheat,vegetative,NPK 19-19-19
25,31,23,7.49,1.38,26,50,wheat,maturity,NPK 12-32-16
27,25,34,5.73,1.47,25,25,wheat,flowering,NPK 14-35-14
42,27,16,6.95,0.94,36,58,rice,vegetative,NPK 19-19-19
66,14,47,5.6,1.45,30,28,soybean,maturity,MOP
45,31,47,5.56,1.22,19,51,soybean,vegetative,NPK 19-19-19
65,13,14,5.71,0.57,36,55,sugarcane,flowering,NPK 14-35-14
62,22,35,7.43,1.18,31,35,rice,flowering,NPK 10-26-26
31,28,28,7.38,1.19,22,31,sugarcane,maturity,MOP
45,32,37,5.89,1.41,27,22,maize,flowering,NPK 14-35-14
32,11,15,5.82,0.87,34,46,wheat,flowering,DAP
59,22,23,5.98,1.08,37,46,sugarcane,vegetative,NPK 19-19-19
37,20,12,6.53,0.51,33,28,groundnut,maturity,MOP
44,31,32,6.64,0.83,34,36,sugarcane,maturity,NPK 12-32-16
52,13,30,5.94,0.56,18,24,rice,maturity,NPK 12-32-16
66,31,32,7.01,1.02,38,45,wheat,vegetative,Single Super Phosphate
59,29,29,6.12,1.32,39,40,wheat,flowering,DAP
62,29,14,7.34,0.71,32,20,soybean,maturity,MOP
31,24,43,6.81,1.03,34,20,sugarcane,maturity,NPK 12-32-16
63,13,21,6.37,0.7,28,54,soybean,vegetative,NPK 19-19-19
55,18,26,7.08,0.62,39,28,sugarcane,vegetative,NPK 19-19-19
67,16,16,7.14,1.01,22,42,rice,maturity,NPK 12-32-16
23,28,15,6.08,0.58,21,57,rice,maturity,NPK 12-32-16
24,28,39,6.18,1.09,38,23,maize,vegetative,Single Super Phosphate
56,15,15,7.37,0.53,26,38,sugarcane,vegetative,NPK 19-19-19
27,15,26,5.83,0.61,33,56,sugarcane,vegetative,Single Super Phosphate
61,29,28,5.58,1.05,29,24,wheat,vegetative,Single Super Phosphate
68,24,14,6.41,1.09,35,47,wheat,flowering,NPK 14-35-14
47,24,21,7.1,0.53,39,42,soybean,flowering,NPK 10-26-26
50,34,34,7.04,1.07,20,57,maize,maturity,MOP
28,29,29,7.34,1.34,32,42,rice,flowering,DAP
48,18,12,6.57,1.22,35,37,sugarcane,vegetative,NPK 19-19-19
33,13,46,5.7,0.63,29,48,soybean,maturity,NPK 12-32-16
59,27,42,6.68,1.09,30,47,maize,vegetative,NPK 19-19-19
60,27,12,7.06,1.17,18,28,wheat,flowering,NPK 14-35-14
41,14,14,5.69,0.54,21,58,maize,vegetative,Urea
30,29,14,5.85,1.36,25,29,soybean,maturity,MOP
42,32,48,5.52,1.41,36,21,rice,flowering,DAP
20,20,30,6.69,1.35,38,32,wheat,maturity,MOP
65,14,40,7.27,1.32,38,57,groundnut,flowering,NPK 14-35-14
56,31,36,6.84,1.24,22,46,wheat,vegetative,NPK 19-19-19
40,13,44,7.46,1.13,28,39,rice,maturity,MOP
45,21,47,5.63,1.18,34,59,wheat,flowering,NPK 10-26-26
65,11,40,7.31,1.31,34,29,soybean,flowering,NPK 10-26-26
55,22,37,7.13,1.16,19,35,wheat,flowering,DAP
42,19,15,6.13,0.83,18,34,sugarcane,flowering,DAP
20,18,25,7.45,0.88,21,32,maize,vegetative,NPK 19-19-19
59,19,38,6.08,1.4,26,57,soybean,vegetative,NPK 19-19-19
34,16,44,7.28,0.52,19,39,rice,flowering,DAP
40,13,33,7.26,1.2,20,43,soybean,vegetative,Urea
66,28,14,7.02,1.45,23,26,sugarcane,vegetative,Urea
28,19,34,6.63,1.21,30,42,wheat,flowering,DAP
28,12,32,5.74,1.49,32,43,wheat,vegetative,Urea
29,34,34,6.56,1.19,28,48,groundnut,maturity,MOP
45,30,15,6.21,0.53,27,24,soybean,maturity,MOP
60,28,32,7.08,1.33,20,54,wheat,vegetative,Single Super Phosphate
54,30,48,7.02,0.78,37,20,wheat,flowering,DAP
44,11,42,7.32,0.95,26,55,sugarcane,maturity,NPK 12-32-16
45,29,32,5.53,0.81,27,37,rice,vegetative,NPK 19-19-19
30,19,37,7.12,0.77,38,25,groundnut,vegetative,Urea
57,11,46,7.38,0.93,29,42,groundnut,flowering,NPK 14-35-14
21,11,49,7.08,0.88,25,29,groundnut,flowering,NPK 10-26-26
26,33,35,5.76,1.13,38,26,maize,vegetative,Urea
37,26,22,5.66,1.31,38,27,soybean,flowering,NPK 14-35-14
46,25,40,5.54,0.8,38,32,rice,maturity,MOP
53,25,14,6.76,0.71,34,49,maize,maturity,MOP
46,23,12,6.76,1.17,39,37,rice,vegetative,Single Super Phosphate
36,16,30,7.47,1.17,22,33,soybean,vegetative,Single Super Phosphate
62,30,33,6.3,1.4,25,30,groundnut,flowering,NPK 14-35-14
63,20,25,6.16,0.52,35,57,sugarcane,maturity,NPK 12-32-16
43,33,25,6.75,1.35,28,32,sugarcane,flowering,NPK 14-35-14
44,10,27,7.15,1.02,39,52,sugarcane,vegetative,Single Super Phosphate
26,20,44,7.37,1.12,27,32,rice,vegetative,Single Super Phosphate
25,32,24,7.11,0.59,32,44,soybean,vegetative,Single Super Phosphate
43,30,49,6.35,0.93,23,43,wheat,vegetative,Urea
52,13,23,6.77,0.73,36,48,wheat,vegetative,NPK 19-19-19
68,16,49,7.21,0.75,34,55,sugarcane,vegetative,Urea
48,24,44,6.48,1.0,27,25,rice,flowering,NPK 10-26-26
62,27,44,5.93,1.31,22,37,wheat,flowering,DAP
41,21,40,5.84,1.24,33,47,rice,flowering,NPK 10-26-26
45,26,16,5.5,1.09,29,24,soybean,maturity,NPK 12-32-16
47,10,17,6.94,1.04,38,37,sugarcane,flowering,NPK 10-26-26
69,20,42,5.72,0.93,22,56,maize,vegetative,Urea
40,10,27,5.99,1.47,38,26,sugarcane,flowering,NPK 10-26-26
68,24,42,6.1,1.06,18,28,maize,flowering,NPK 14-35-14
26,30,36,6.62,0.75,19,54,wheat,maturity,NPK 12-32-16
36,19,44,6.3,0.73,22,31,groundnut,vegetative,NPK 19-19-19
39,16,24,6.85,1.11,36,59,maize,maturity,NPK 12-32-16
60,11,21,5.61,1.02,32,58,groundnut,maturity,MOP
68,19,35,5.75,0.51,18,43,rice,maturity,MOP
39,33,21,6.5,1.33,28,28,groundnut,flowering,NPK 14-35-14
41,13,42,6.17,1.2,35,31,maize,vegetative,NPK 19-19-19
47,21,24,6.09,1.16,20,55,wheat,vegetative,Urea
59,28,14,5.63,0.57,26,56,wheat,maturity,NPK 12-32-16
68,20,45,7.29,0.86,21,28,sugarcane,vegetative,Single Super Phosphate
26,17,39,6.88,1.44,30,58,wheat,vegetative,Single Super Phosphate
20,27,30,5.74,1.36,26,41,rice,maturity,MOP
51,20,34,5.63,0.79,20,36,maize,flowering,NPK 10-26-26
32,20,43,7.45,0.66,33,52,soybean,maturity,MOP
49,22,24,6.86,0.95,39,43,wheat,maturity,MOP
42,12,44,6.33,0.86,25,34,groundnut,flowering,DAP
38,21,45,6.9,1.18,24,48,maize,flowering,NPK 14-35-14
51,12,44,7.01,1.47,34,51,sugarcane,flowering,DAP
49,19,16,7.06,0.86,33,52,soybean,flowering,NPK 14-35-14
48,26,14,6.46,0.56,38,48,sugarcane,maturity,MOP
68,31,18,6.36,1.4,39,34,rice,flowering,DAP
64,11,35,5.52,0.54,35,46,sugarcane,vegetative,Urea
48,26,33,7.35,1.45,33,53,maize,maturity,NPK 12-32-16
49,25,34,6.71,1.16,32,23,soybean,maturity,MOP
35,11,41,5.91,1.44,19,37,sugarcane,flowering,NPK 10-26-26
59,31,29,7.34,0.7,37,40,sugarcane,flowering,NPK 10-26-26
38,29,43,7.33,0.54,21,27,groundnut,vegetative,Urea
37,15,18,7.48,0.99,22,25,groundnut,flowering,NPK 14-35-14
20,34,44,7.25,0.95,24,39,rice,maturity,MOP
33,19,16,7.5,0.83,32,21,maize,flowering,NPK 14-35-14
66,19,39,5.99,1.46,34,41,sugarcane,vegetative,Urea
69,17,19,7.18,1.32,27,40,maize,maturity,MOP
21,10,26,7.15,1.16,37,25,wheat,maturity,NPK 12-32-16
47,22,15,5.96,0.66,26,51,rice,flowering,NPK 14-35-14
68,33,45,5.7,1.23,33,25,groundnut,vegetative,Single Super Phosphate
69,18,16,7.46,1.23,20,32,rice,vegetative,Urea
49,31,44,6.09,0.93,39,20,rice,flowering,NPK 14-35-14
57,19,16,7.24,1.42,26,41,maize,maturity,MOP
23,24,49,5.51,0.67,25,43,groundnut,maturity,MOP
20,14,45,5.54,0.77,24,49,groundnut,maturity,MOP
27,31,37,6.43,0.56,34,41,sugarcane,flowering,NPK 10-26-26
48,25,12,5.98,1.3,22,31,sugarcane,maturity,NPK 12-32-16
58,22,15,6.88,1.12,24,45,maize,maturity,NPK 12-32-16
22,31,37,6.63,0.81,30,23,maize,flowering,DAP
51,34,44,5.65,0.66,35,38,wheat,maturity,MOP
29,29,44,5.83,0.54,39,35,soybean,flowering,DAP
29,27,19,6.28,0.67,31,31,soybean,vegetative,NPK 19-19-19
38,20,31,5.87,0.95,35,52,rice,vegetative,NPK 19-19-19
65,18,27,7.08,0.75,20,40,sugarcane,flowering,NPK 14-35-14
53,25,32,6.33,0.76,34,55,groundnut,flowering,DAP
52,11,37,5.69,1.38,36,28,rice,flowering,DAP
42,34,34,6.47,1.02,24,58,groundnut,maturity,NPK 12-32-16
47,11,29,5.68,1.23,38,27,sugarcane,maturity,MOP
51,21,42,5.76,0.54,21,39,sugarcane,flowering,NPK 10-26-26
69,17,23,5.98,0.87,32,29,wheat,flowering,NPK 10-26-26
26,18,12,7.22,0.98,25,51,maize,maturity,MOP
48,21,20,7.35,0.69,33,47,maize,maturity,MOP
27,18,14,7.15,0.62,18,29,maize,flowering,DAP
20,19,37,6.17,1.37,33,27,soybean,maturity,NPK 12-32-16
22,34,20,6.04,1.44,19,52,maize,maturity,MOP
43,11,27,6.6,0.58,19,32,soybean,vegetative,Single Super Phosphate
42,25,35,6.94,0.85,25,54,groundnut,flowering,NPK 14-35-14
27,29,25,7.49,1.46,29,48,rice,flowering,NPK 10-26-26
66,16,14,5.76,0.58,28,24,soybean,maturity,MOP
56,11,45,5.6,1.14,23,22,sugarcane,vegetative,Single Super Phosphate
22,10,44,6.89,1.47,36,56,wheat,flowering,NPK 14-35-14
52,28,35,7.16,1.48,35,25,wheat,flowering,DAP
47,13,20,7.19,0.97,22,35,sugarcane,maturity,MOP
66,33,24,6.86,0.66,32,54,groundnut,flowering,NPK 10-26-26
27,31,13,7.41,0.7,25,37,rice,maturity,MOP
53,11,18,6.52,1.39,23,30,wheat,vegetative,Urea
54,34,32,7.33,1.41,29,42,sugarcane,vegetative,NPK 19-19-19
51,23,30,7.44,1.11,36,30,wheat,flowering,NPK 14-35-14
43,11,36,7.19,1.27,29,48,soybean,maturity,MOP
33,24,33,6.12,1.24,29,46,groundnut,vegetative,Urea
51,21,22,5.89,1.16,26,28,wheat,flowering,DAP
65,14,44,6.6,1.33,27,54,groundnut,flowering,DAP
62,29,43,6.41,1.19,39,28,groundnut,flowering,NPK 14-35-14
35,16,32,7.26,1.03,34,37,soybean,maturity,MOP
23,33,31,5.7,0.74,35,40,groundnut,maturity,NPK 12-32-16
56,30,19,6.02,1.24,33,55,soybean,vegetative,NPK 19-19-19
40,19,48,7.0,0.97,21,20,wheat,maturity,MOP
33,23,20,5.69,0.79,35,46,wheat,maturity,MOP
50,23,36,6.14,1.3,20,59,groundnut,flowering,NPK 10-26-26
67,14,36,6.27,1.2,33,57,soybean,flowering,NPK 14-35-14
37,27,44,6.75,1.44,31,48,wheat,vegetative,Single Super Phosphate
26,33,13,5.82,0.67,26,59,groundnut,flowering,NPK 14-35-14
29,23,30,7.22,1.15,23,38,rice,flowering,DAP
26,11,31,6.4,0.74,21,43,maize,flowering,NPK 10-26-26
52,21,40,7.33,1.4,19,20,maize,maturity,NPK 12-32-16
42,31,17,6.44,0.6,27,55,sugarcane,flowering,NPK 10-26-26
40,33,28,6.05,1.16,28,42,groundnut,vegetative,Single Super Phosphate
38,15,36,5.78,1.29,24,32,maize,vegetative,NPK 19-19-19
67,13,49,5.51,0.85,22,49,rice,flowering,NPK 10-26-26
38,22,15,6.56,1.45,21,56,groundnut,flowering,NPK 14-35-14
55,13,41,5.71,1.35,23,30,maize,vegetative,Urea
48,31,31,6.28,0.79,19,26,maize,maturity,NPK 12-32-16
37,23,14,6.68,0.51,19,54,rice,flowering,DAP
21,25,34,6.05,0.8,33,30,soybean,vegetative,Single Super Phosphate
20,13,29,5.85,0.78,30,59,maize,maturity,NPK 12-32-16
66,33,37,7.05,1.39,38,40,sugarcane,vegetative,Urea
24,34,47,7.39,1.47,24,22,maize,maturity,NPK 12-32-16
39,10,19,5.7,0.57,22,49,maize,vegetative,Urea
30,22,28,5.81,0.97,34,43,rice,vegetative,Urea
61,13,42,7.42,1.05,30,57,rice,maturity,MOP
21,29,48,5.58,0.59,32,22,groundnut,flowering,DAP
22,27,44,7.46,0.88,20,56,sugarcane,vegetative,NPK 19-19-19
42,15,38,5.51,0.82,21,52,wheat,flowering,NPK 14-35-14
31,12,15,7.25,1.04,32,41,rice,vegetative,Single Super Phosphate
39,32,33,6.11,1.16,35,50,wheat,maturity,MOP
24,22,37,7.38,1.2,20,31,sugarcane,flowering,NPK 10-26-26
56,25,43,6.13,0.64,24,33,maize,maturity,MOP
57,14,35,6.81,1.31,25,31,groundnut,maturity,MOP
49,13,46,5.66,1.18,28,46,maize,flowering,NPK 10-26-26
28,30,48,5.98,1.39,39,32,groundnut,flowering,NPK 10-26-26
53,17,43,7.05,0.95,26,43,wheat,flowering,NPK 14-35-14
63,28,18,6.56,1.39,37,57,sugarcane,maturity,NPK 12-32-16
54,23,44,7.36,1.37,29,28,sugarcane,maturity,MOP
41,16,42,6.36,0.94,22,27,rice,maturity,NPK 12-32-16
63,23,23,7.24,0.88,18,56,wheat,flowering,NPK 10-26-26
43,15,22,6.4,1.43,31,34,groundnut,vegetative,Single Super Phosphate
36,21,35,7.46,1.22,20,26,rice,flowering,NPK 14-35-14
29,25,19,7.42,1.43,32,43,wheat,vegetative,Single Super Phosphate
49,26,43,6.16,1.3,27,35,rice,maturity,MOP
65,22,49,7.27,1.11,27,43,rice,vegetative,Single Super Phosphate
42,32,33,7.2,0.62,20,26,sugarcane,flowering,NPK 10-26-26
51,23,45,5.92,0.79,23,47,sugarcane,flowering,NPK 14-35-14
36,16,30,6.75,1.47,22,21,maize,flowering,DAP
69,23,31,5.65,0.82,36,53,maize,vegetative,Urea
36,24,25,7.17,0.59,31,57,sugarcane,flowering,NPK 10-26-26
33,21,44,5.85,1.21,34,22,sugarcane,vegetative,Single Super Phosphate
28,26,21,5.64,1.23,29,20,rice,maturity,MOP
59,18,27,6.3,0.79,26,50,maize,vegetative,NPK 19-19-19
21,31,15,6.65,0.8,20,42,sugarcane,maturity,NPK 12-32-16
64,24,38,7.21,0.97,35,39,wheat,vegetative,Single Super Phosphate
44,21,39,7.45,0.52,21,35,wheat,maturity,MOP
58,11,27,6.38,1.29,31,51,maize,flowering,DAP
28,14,44,5.62,0.82,23,36,wheat,vegetative,Single Super Phosphate
41,22,30,7.0,1.35,32,37,groundnut,maturity,NPK 12-32-16
62,29,32,6.63,1.3,34,23,rice,flowering,DAP
65,32,33,6.4,1.16,22,54,maize,flowering,NPK 10-26-26
23,17,20,6.12,0.82,23,59,groundnut,maturity,NPK 12-32-16
45,23,20,6.5,1.02,38,55,sugarcane,maturity,MOP
48,24,20,6.18,0.94,22,42,groundnut,vegetative,Single Super Phosphate
64,20,38,7.01,0.84,36,34,wheat,maturity,NPK 12-32-16
53,10,28,6.59,1.35,31,32,rice,maturity,MOP
42,30,19,7.25,0.98,21,33,sugarcane,flowering,NPK 10-26-26
56,12,27,6.59,1.33,22,33,soybean,maturity,NPK 12-32-16
30,26,29,5.98,0.61,28,56,rice,maturity,MOP
25,28,44,7.2,0.64,19,24,wheat,maturity,NPK 12-32-16
37,23,12,6.61,1.48,39,41,rice,flowering,NPK 10-26-26
40,31,23,5.91,1.09,19,47,soybean,flowering,NPK 10-26-26
61,32,17,6.75,1.01,37,23,soybean,flowering,NPK 10-26-26
55,17,16,6.22,1.02,29,57,rice,flowering,NPK 10-26-26
60,22,27,7.19,0.72,33,48,sugarcane,vegetative,NPK 19-19-19
57,29,29,6.41,1.22,34,56,groundnut,flowering,DAP
53,12,29,6.95,0.58,21,54,sugarcane,flowering,NPK 10-26-26
36,14,12,5.69,1.07,31,39,soybean,vegetative,NPK 19-19-19
56,18,30,6.29,1.07,24,54,maize,vegetative,Urea
44,15,19,7.47,1.41,32,54,maize,vegetative,Single Super Phosphate
57,34,14,7.12,1.03,33,39,sugarcane,maturity,NPK 12-32-16
31,31,36,5.82,0.64,25,21,maize,flowering,NPK 14-35-14
42,11,16,6.06,1.07,19,37,sugarcane,maturity,MOP
61,22,30,6.16,0.59,36,49,wheat,vegetative,Urea
41,14,29,6.8,0.7,18,48,sugarcane,vegetative,Single Super Phosphate
40,34,42,7.01,0.53,21,58,wheat,vegetative,NPK 19-19-19
46,17,44,7.0,1.01,38,41,groundnut,vegetative,NPK 19-19-19
50,32,29,6.52,0.58,39,48,soybean,maturity,MOP
25,10,27,7.12,0.97,28,29,maize,vegetative,NPK 19-19-19
46,29,27,6.37,1.43,27,39,groundnut,flowering,DAP
59,21,49,5.75,1.22,35,35,groundnut,flowering,NPK 14-35-14
53,32,18,6.63,0.58,18,25,soybean,flowering,NPK 10-26-26
31,20,25,7.4,0.72,34,36,rice,maturity,MOP
64,16,36,7.09,1.17,33,25,rice,vegetative,NPK 19-19-19
26,24,43,6.66,1.39,29,41,groundnut,maturity,NPK 12-32-16
29,31,49,6.79,0.53,33,37,groundnut,flowering,NPK 10-26-26
64,33,33,7.36,1.31,26,51,soybean,vegetative,Urea
36,20,27,6.36,1.06,34,47,sugarcane,maturity,NPK 12-32-16
45,31,40,6.16,1.05,20,29,sugarcane,vegetative,Single Super Phosphate
40,25,27,7.45,1.46,35,41,maize,vegetative,Urea
47,12,23,7.23,1.25,32,47,soybean,maturity,MOP
65,29,28,6.15,1.35,32,34,rice,flowering,NPK 14-35-14
21,23,48,6.43,0.85,33,48,soybean,maturity,MOP
62,12,38,6.33,1.05,37,26,soybean,maturity,NPK 12-32-16
20,10,36,5.8,1.12,18,53,maize,flowering,DAP
55,30,24,7.42,0.82,18,51,sugarcane,maturity,MOP
45,24,19,6.31,1.07,21,21,groundnut,vegetative,Urea
48,10,16,7.25,0.74,30,45,rice,flowering,NPK 14-35-14
40,26,23,5.88,0.64,21,30,maize,maturity,MOP
30,11,14,6.6,0.87,25,44,rice,vegetative,Single Super Phosphate
59,29,46,5.55,1.24,30,38,rice,flowering,DAP
30,15,44,7.03,1.42,25,39,sugarcane,maturity,MOP
55,17,33,6.66,0.96,31,52,groundnut,flowering,DAP
68,25,20,6.75,1.14,18,36,groundnut,vegetative,NPK 19-19-19
58,28,29,5.6,0.6,26,49,sugarcane,vegetative,NPK 19-19-19
59,10,40,5.92,1.4,18,37,maize,flowering,NPK 14-35-14
54,12,38,5.65,1.07,24,51,wheat,vegetative,Single Super Phosphate
53,12,47,6.08,1.28,37,59,maize,vegetative,NPK 19-19-19
66,14,28,6.75,1.29,30,23,maize,flowering,NPK 14-35-14
43,21,45,6.63,0.76,32,51,wheat,flowering,NPK 14-35-14
